OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
4189;6_1523;20190912;1523;SAN FCO.DE SALES-ANDRES MELLADO;2391;79;28003;7;A;439492;4477203;44
4190;6_2020;20190912;2020;ISAAC PERAL-HOSPITAL CLINICO;2704;79;28040;7;A;439253;4477061;C1
4191;6_1187;20190912;1187;PICO DE LOS ARTILLEROS;4641;79;28030;14;A;445813;4473446;30, 32, N8
4192;6_1524;20190912;1524;SAN FCO.DE SALES-PZA.CRISTO REY;2389;79;28003;7;A;439299;4477034;44, N21
4193;6_2993;20190912;2993;GINZO DE LIMIA-VALENCIA DE DON JUAN;1548;79;28034;8;A;440122;4482012;49, 134
4194;6_3012;20190912;3012;GINZO DE LIMIA-SANGENJO;1547;79;28034;8;A;440291;4481791;49, 134, N23
4195;6_2991;20190912;2991;GINZO DE LIMIA-LA VAGUADA;1544;79;28029;8;A;440413;4481472;49, 134, N23
4196;6_3481;20190912;3481;AVDA. MONFORTE DE LEMOS;3393;79;28029;8;A;440485;4481444;137
4197;6_2992;20190912;2992;GINZO DE LIMIA-SANGENJO;1546;79;28034;8;A;440311;4481823;49, 134, N22, N23
4198;6_3011;20190912;3011;GINZO DE LIMIA-CDAD.PERIODISTAS;1549;79;28034;8;A;440086;4482009;49, 134
4199;6_2537;20190912;2537;SAN MODESTO-VIRGEN DE BEGOÑA;3222;79;28034;8;A;441771;4481893;124, 137, N24
4200;6_5816;20190912;5816;NECTAR-SAN MARIANO;4046;79;28022;20;A;448171;4477209;28, N5
4201;6_2481;20190912;2481;CTRA.CIRCUNVALACION-ZODIACO;3547;79;28042;21;A;451329;4480966;101
4202;6_2492;20190912;2492;AV.AMERICA-I.E.S.BARAJAS;1295;79;28042;21;A;449174;4478137;101, 114, 115, 151, N4
4203;6_2506;20190912;2506;BARROS-VILLUERCAS;1093;79;28053;13;A;443524;4469812;102, 103, N11
